# Event_ID epsilon2 phi2
745 0.745174 0.248326
746 0.487330 0.287212
747 0.174598 0.910041
748 0.273911 -1.009820
749 0.089299 1.413990
750 0.205660 -1.315230
751 0.157293 -0.446425
752 0.135392 -0.061268
753 0.360095 0.235706
754 0.220119 0.914855
755 0.317532 -0.253823
756 0.523441 0.140994
757 0.275772 -0.378015
758 0.228183 0.640122
759 0.377643 1.254030
760 0.814265 -0.672550
761 0.076606 0.287773
762 0.659835 0.523628
763 0.395007 0.867171
764 0.034244 -0.232792
765 0.496703 1.069400
766 0.860269 1.002470
767 0.258455 -1.322670
768 0.914295 -0.419325
769 0.118346 -1.315810
770 0.299873 -0.924730
771 0.164447 0.871240
772 0.452750 1.205100
773 0.214552 0.718693
774 0.176713 -1.151660
775 0.095650 0.281123
776 0.496556 0.447202
778 0.275319 0.608979
779 0.779602 -0.228193
780 0.135260 -1.456660
781 0.161150 0.666011
782 0.827941 0.612052
783 0.300953 -1.253310
784 0.622027 -0.850553
785 0.504420 -0.415681
786 0.419230 -0.937512
787 0.785403 -0.924644
788 0.389224 1.080360
789 0.362142 0.112125
790 0.873094 -1.518250
791 0.229049 1.263970
792 0.529596 -1.024320
793 0.801497 0.329649
794 0.272377 -1.489160
795 0.363972 1.291430
796 0.738948 1.072240
797 0.771943 1.434070
798 0.352869 -0.505436
799 0.153999 -0.315687
800 0.301763 -1.556770
801 0.669969 -0.079050
802 0.266342 0.790115
803 0.617241 0.177469
804 0.564376 -1.313260
805 0.635425 -0.765103
806 0.835977 -0.764129
807 0.871303 -0.644760
808 0.321602 0.722275
809 0.740270 1.258380
810 0.353693 -0.368068
811 0.676564 0.366461
812 0.343214 -1.499990
813 0.269404 -0.961821
814 0.556619 -0.555681
815 0.684684 0.414364
816 0.617879 -0.466663
818 0.206795 0.698569
819 0.580625 0.384922
820 0.245488 0.186448
821 0.401154 -1.436640
822 0.198971 -1.566030
823 0.188734 -0.822493
824 0.599036 -1.164820
825 0.218890 -1.555710
826 0.389624 1.060250
827 0.026651 -1.128660
828 0.592267 -0.967356
829 0.573404 1.535860
830 0.239313 0.141828
831 0.186370 -1.204650
832 0.818060 0.971005
833 0.526467 0.472517
834 0.101517 1.066120
835 0.855271 1.473850
837 0.210703 -0.561394
838 0.295329 0.518799
839 0.389957 -0.635947
840 0.252526 -0.674666
841 0.092961 -1.548560
842 0.115009 0.921019
843 0.443819 -0.984919
844 0.359857 -1.367120
845 0.878995 1.384370
846 0.868981 0.189240
847 0.682254 -0.853553
848 0.063622 -0.599249
849 0.324771 -0.236936
850 0.160352 -0.804781
852 0.543982 0.734022
853 0.349824 1.445160
854 0.308215 -0.699202
855 0.701996 0.829827
856 0.595951 1.408320
857 0.136627 0.382371
858 0.634658 -1.549630
859 0.033316 -1.471290
860 0.117864 -0.081408
861 0.216788 0.423632
862 0.552200 0.646217
863 0.107885 1.484950
864 0.601127 -0.076059
865 0.626406 1.226530
866 0.436251 1.294410
867 0.448418 -0.033780
868 0.139997 0.442904
869 0.470874 -0.690001
870 0.076438 -0.964764
871 0.121690 -0.619231
872 0.516171 -0.861997
873 0.341266 1.393070
874 0.144298 -1.142570
875 0.508884 1.349280
876 0.864743 0.409575
877 0.766179 -0.145472
878 0.782754 0.713678
879 0.242196 0.757558
880 0.091784 -0.836526
881 0.549766 -1.252090
882 0.352222 0.387672
883 0.109431 -0.689652
884 0.285964 1.299430
885 0.439094 -1.008350
886 0.242964 0.992372
887 0.264712 0.249084
888 0.557208 -1.090270
889 0.268541 0.799660
890 0.980179 -0.788720
891 0.341698 0.802640
892 0.575082 0.136728
893 0.209808 0.807525
894 0.241516 1.327800
895 0.041927 -0.395596
896 0.507727 1.291750
897 0.785835 -0.640167
898 0.257810 1.560150
899 0.342134 -0.845396
900 0.288288 -0.935626
901 0.212458 -0.122335
902 0.145632 1.067670
