# Event_ID q2 Psi_EP epsilon2 phi2
964 2.925045 -1.172499 0.566084 0.459376
967 3.520855 -0.091028 0.473597 1.432960
968 1.979696 -0.068613 0.262370 1.505850
969 3.527285 -0.193307 0.458112 1.380230
973 1.478199 0.130570 0.330751 -1.134200
975 2.824477 -0.534865 0.409017 0.897853
977 4.664208 -0.708837 0.695312 0.997824
978 2.535469 -1.086054 0.389184 0.289380
981 2.628275 -0.950233 0.685687 0.695550
984 3.885916 -1.081784 0.485288 0.486981
989 2.749036 -0.399379 0.618700 1.308540
990 3.569609 0.777256 0.431175 -0.791708
994 2.507777 -1.079788 0.394190 0.504648
995 4.070122 -0.150253 0.676508 1.311130
1010 1.736910 1.008324 0.223795 -0.993524
1011 4.148855 0.895110 0.620839 -0.731866
1012 3.905051 -1.168556 0.417240 0.393311
1015 3.600711 1.184269 0.458763 -0.509665
1026 3.342657 1.074661 0.576193 -0.685695
1032 2.062482 0.062831 0.378521 1.562670
1040 3.775327 -0.858673 0.414208 0.800357
1041 2.506508 1.163801 0.529316 -0.322046
1045 3.341114 0.090311 0.478376 -1.468410
1047 2.041160 1.098029 0.488892 -0.364987
1053 3.858872 -1.565949 0.538348 0.052873
1057 4.868744 -0.406658 0.651879 1.146130
1065 1.944202 -0.168161 0.317252 1.362470
1066 4.508145 0.182829 0.627367 -1.552010
1068 2.822534 1.312810 0.421062 -0.218778
1078 2.738016 -0.532818 0.485197 1.283040
1085 5.167737 0.765695 0.517321 -0.891610
1092 1.663842 -0.930539 0.416831 0.779349
1096 2.278896 -0.111340 0.402519 -1.559680
1098 6.561197 -0.949483 0.714319 0.624533
1100 2.083281 1.474485 0.406977 0.242855
1101 1.382390 -1.280239 0.495879 0.096002
1106 3.008593 -0.509035 0.497167 0.947860
1122 2.547547 -0.133309 0.248546 0.994655
1133 0.894668 0.140535 0.129058 -0.388470
1139 3.446618 0.088347 0.538872 -1.473350
1144 2.106483 -1.250883 0.495435 0.689261
1145 2.340345 -0.386392 0.721136 1.557810
1153 1.702876 -0.951961 0.380050 0.199542
1162 3.555764 -0.072117 0.475945 1.503270
1164 1.329804 0.926707 0.369991 -0.398872
1174 1.999825 1.104420 0.321842 -0.381792
1180 0.520052 1.083105 0.490236 -0.314592
1192 2.139434 -0.826736 0.420043 1.144750
1193 0.433510 1.302125 0.269427 -1.381400
1196 1.709580 -0.295878 0.381367 -1.410490
1200 3.021309 -0.221944 0.678843 1.263740
1205 4.300161 0.945957 0.513800 -0.515317
1212 1.356444 -1.092519 0.072641 -1.294330
1224 2.110069 1.545649 0.335136 -0.022673
1229 2.748630 -1.028260 0.407146 0.671430
1244 3.052535 0.145142 0.479683 -1.415010
1251 2.113527 0.326864 0.422666 -1.033900
1257 2.539260 0.043573 0.558650 -1.471620
1263 4.603245 0.988115 0.521565 -0.657500
1267 3.662003 -1.430531 0.515238 0.153059
1270 4.552616 -0.401664 0.420173 1.253600
1275 3.053681 -0.282657 0.533197 1.010130
1277 2.489557 -1.285485 0.544412 0.512061
1282 3.116033 -1.367074 0.496246 0.160040
1292 1.775063 0.577097 0.050286 0.893398
1295 3.127928 -1.026838 0.410802 0.433861
1301 5.746904 -0.047733 0.504790 1.339200
1302 2.316023 0.798731 0.262285 -0.616433
1305 3.721144 0.653034 0.420640 -0.886202
1306 1.569693 1.246589 0.268675 -0.891562
1308 3.808355 -0.686240 0.326282 1.023020
1319 4.490796 -1.415087 0.560097 0.181947
1320 4.499561 1.260860 0.454320 -0.244154
1325 4.062163 0.689247 0.484477 -1.114830
1332 1.550390 -0.808209 0.521592 0.791085
1338 5.380188 0.727335 0.582956 -0.777181
1343 2.660859 1.298022 0.328808 -0.350541
1348 3.199655 0.345682 0.402955 -0.911665
1353 4.053592 -0.941940 0.598152 0.544379
1359 2.426772 0.768562 0.204833 -1.195410
1360 3.140784 -1.306078 0.361989 0.269963
1365 0.502726 -0.528643 0.184478 1.450150
1368 1.169856 -0.090507 0.270039 -0.907166
1377 5.215410 -1.216893 0.646650 0.341372
1392 2.054854 -0.041653 0.412683 -1.363450
1399 4.058468 -1.125192 0.384777 0.191893
1403 4.536862 1.570309 0.739212 0.081831
1405 0.531581 1.067826 0.152992 -0.456028
1412 4.472499 -0.546162 0.526740 1.014280
1422 2.076543 1.186006 0.508772 -0.532170
1423 0.125800 0.881530 0.257243 -0.809944
1427 4.304697 -0.347960 0.625688 1.141670
1432 0.836617 -0.971827 0.408738 0.378468
1436 3.743880 0.231654 0.447494 -1.132930
1445 2.860297 -1.452134 0.315611 0.153040
1454 4.505697 0.133418 0.689510 -1.336260
1461 3.029035 1.423295 0.400262 -0.258997
1462 4.254714 -1.050017 0.468251 0.556816
1474 3.967697 -0.183045 0.520535 1.359070
1477 2.639874 1.338547 0.470460 0.030008
