# Event_ID q2 Psi_EP
653 3.818614 0.574165 
657 0.267293 -1.055681 
657 1.786508 1.534586 
664 1.531221 1.307576 
665 3.28817 1.38424 
665 2.118042 -0.504357 
667 4.344345 -1.111183 
669 1.232964 -0.14253 
672 1.484273 -1.014387 
673 1.495999 1.224542 
674 4.887377 -0.525255 
675 2.336475 -1.06103 
677 4.366204 0.421693 
678 3.206329 -1.445715 
683 3.377395 -1.368096 
685 5.710836 0.668045 
689 4.544553 1.495857 
690 0.994642 0.157878 
693 0.563917 -0.535874 
694 2.966888 -0.652716 
696 2.580226 0.270058 
701 3.544768 -1.05487 
701 2.929996 -0.447437 
703 2.065718 0.948936 
708 5.169629 0.442796 
714 2.678186 -0.525195 
714 4.878754 0.074434 
715 0.265547 1.361139 
716 4.755526 0.663219 
717 3.084926 -1.484029 
718 3.291017 0.928025 
719 5.186396 0.432449 
727 3.371801 -0.277046 
728 3.95759 -1.26057 
731 0.855381 0.085343 
732 4.020023 -0.177135 
732 5.269608 -0.378957 
739 4.015665 -1.18613 
741 2.175202 1.159138 
743 6.074022 -1.003368 
743 1.72274 -0.807553 
745 5.762131 0.669689 
747 3.662155 -1.113266 
755 3.141539 0.061242 
756 2.27068 -1.17973 
758 3.692321 0.656095 
760 3.774451 -0.96243 
763 2.469582 -0.820461 
764 2.706199 -0.512555 
777 2.178397 -1.213898 
777 1.288048 -1.383655 
778 2.050956 -0.227417 
784 4.026964 0.547973 
785 3.348521 1.092065 
789 1.807383 -1.22604 
793 2.406744 -0.225314 
795 1.907313 -0.576308 
798 3.21247 1.032602 
801 3.209033 -1.365345 
802 2.86684 -0.761588 
803 4.550984 -1.399436 
804 2.780747 0.348656 
806 4.634865 -0.373008 
810 2.459268 0.82246 
817 1.170401 -0.691403 
817 4.977449 -1.129091 
819 2.317918 -1.404752 
821 4.411237 0.026787 
823 0.932601 -0.019562 
825 3.314301 1.533564 
828 4.965979 0.574248 
830 1.608549 -1.088669 
831 1.414288 -0.374277 
832 2.727661 1.417114 
833 4.297318 -1.314859 
834 0.665588 0.066307 
836 2.414289 -1.482598 
836 3.868068 -0.42347 
839 3.40799 0.784573 
844 3.424477 -0.106031 
850 4.853302 0.014109 
851 3.108413 1.233151 
851 2.370426 -1.447983 
852 2.308095 1.044629 
856 3.120193 1.306373 
864 4.239419 1.391864 
878 3.446413 -1.070951 
881 2.895422 0.222252 
885 3.283891 0.715071 
888 2.915577 0.553842 
896 4.775708 -0.220101 
900 1.44596 1.04247 
902 3.432665 -0.304383 
906 3.22702 0.298594 
907 2.162743 -0.44988 
907 1.094959 0.027546 
909 2.587417 0.725954 
910 3.150647 0.867043 
912 2.734357 1.145368 
913 3.019981 0.255225 
914 3.111106 0.175035 
915 2.524072 -0.502936 
916 4.184441 -0.311113 
919 4.712274 1.371039 
920 3.333698 1.127634 
924 5.386726 -0.542893 
924 2.296931 1.207265 
929 2.272856 1.313975 
930 1.571664 1.381902 
932 2.520731 -0.210845 
933 2.046533 -0.059784 
934 2.136542 -0.66461 
941 5.470595 -0.034662 
942 0.269934 0.617349 
